Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160309;4112;C;Lopez, Robin;1;37.1;$5,800;nyk;A;pho;128;97;30.13;13pt 8rb 3as 5bl 5-10fg 3-4ft
20160309;4620;C;Gobert, Rudy;1;30.5;$6,900;uta;A;gsw;94;115;30.05;9pt 15rb 1as 1st 2-4fg 5-9ft
20160309;4107;C;Jordan, DeAndre;1;30.4;$8,600;lac;A;okc;108;120;32.78;18pt 7rb 2as 1bl 1to 7-7fg 4-12ft
20160309;4591;C;Len, Alex;1;28;$6,600;pho;H;nyk;97;128;28.18;14pt 10rb 2as 1to 4-12fg 6-6ft
20160309;3553;C;Pachulia, Zaza;1;27.1;$4,700;dal;H;det;96;102;34.58;10pt 13rb 1as 3-6fg 4-5ft
20160309;4442;C;Kanter, Enes;;26.4;$4,700;okc;H;lac;120;108;17.28;14pt 7rb 2st 7-10fg
20160309;4298;C;Monroe, Greg;1;25.6;$6,900;mil;H;mia;114;108;23.30;10pt 8rb 4as 1st 2to 4-9fg 2-2ft
20160309;4542;C;Plumlee, Miles;;23.3;$3,600;mil;H;mia;114;108;24.43;18pt 4rb 1as 1st 3to 8-12fg 2-3ft
20160309;4516;C;Zeller, Tyler;;19.9;$3,500;bos;H;mem;116;96;25.52;9pt 7rb 1as 1bl 1to 3-4fg 3-3ft
20160309;4574;C;Adams, Steven;1;18.8;$4,200;okc;H;lac;120;108;29.77;9pt 9rb 1to 4-8fg 1-2ft
20160309;3736;C;Bogut, Andrew;1;18.8;$5,000;gsw;H;uta;115;94;14.45;6pt 4rb 2as 3bl 1to 3-4fg
20160309;4260;C;Aldrich, Cole;;16.2;$3,500;lac;A;okc;108;120;15.10;10pt 6rb 1to 5-5fg
20160309;4529;C;O'Quinn, Kyle;;15.8;$3,600;nyk;A;pho;128;97;11.12;4pt 4rb 4as 1st 1to 1-2fg 2-2ft
20160309;3679;C;Varejao, Anderson;;15;$3,500;gsw;H;uta;115;94;13.25;9pt 5rb 1st 2to 4-6fg 1-1ft
